date,dow,time,tmean,all
01/01/1993,Fri,1,1.7962734,1931
02/01/1993,Sat,2,-.5030964,1840
03/01/1993,Sun,3,-1.3734589,1839
04/01/1993,Mon,4,2.5831826,1973
05/01/1993,Tue,5,6.0234127,1931
06/01/1993,Wed,6,7.3810987,1977
07/01/1993,Thu,7,5.5150623,1953
08/01/1993,Fri,8,6.0724459,1904
09/01/1993,Sat,9,7.0217648,1847
10/01/1993,Sun,10,8.6811628,1927
11/01/1993,Mon,11,5.6026464,1863
12/01/1993,Tue,12,4.0381222,1785
13/01/1993,Wed,13,6.0205774,1754
14/01/1993,Thu,14,6.5472231,1786
15/01/1993,Fri,15,8.3700628,1807
16/01/1993,Sat,16,10.038925,1805
17/01/1993,Sun,17,8.5711374,1687
18/01/1993,Mon,18,4.9572563,1684
19/01/1993,Tue,19,6.6078601,1711
20/01/1993,Wed,20,8.5635529,1709
21/01/1993,Thu,21,9.0860071,1683
22/01/1993,Fri,22,7.6194668,1681
23/01/1993,Sat,23,7.8135848,1577
24/01/1993,Sun,24,7.1585383,1670
25/01/1993,Mon,25,3.1901298,1604
26/01/1993,Tue,26,3.994812,1662
27/01/1993,Wed,27,5.7113047,1759
28/01/1993,Thu,28,7.6816869,1606
29/01/1993,Fri,29,6.9267397,1613
30/01/1993,Sat,30,5.8498449,1678
31/01/1993,Sun,31,5.4773054,1527
01/02/1993,Mon,32,4.2596574,1577
02/02/1993,Tue,33,5.674871,1648
03/02/1993,Wed,34,5.581502,1532
04/02/1993,Thu,35,3.8314266,1642
05/02/1993,Fri,36,3.8904984,1571
06/02/1993,Sat,37,6.1332092,1716
07/02/1993,Sun,38,8.4524727,1581
08/02/1993,Mon,39,8.5043993,1496
09/02/1993,Tue,40,6.0165377,1581
10/02/1993,Wed,41,4.0915327,1496
11/02/1993,Thu,42,3.3415129,1614
12/02/1993,Fri,43,3.4973841,1667
13/02/1993,Sat,44,4.2717667,1640
14/02/1993,Sun,45,3.3711433,1562
15/02/1993,Mon,46,4.5956564,1587
16/02/1993,Tue,47,6.2922983,1704
17/02/1993,Wed,48,8.1042385,1559
18/02/1993,Thu,49,7.3729448,1655
19/02/1993,Fri,50,6.6591196,1562
20/02/1993,Sat,51,5.0422506,1606
21/02/1993,Sun,52,4.8647513,1505
22/02/1993,Mon,53,3.4914849,1612
23/02/1993,Tue,54,2.9690728,1628
24/02/1993,Wed,55,4.8201356,1663
25/02/1993,Thu,56,5.2108817,1623
26/02/1993,Fri,57,3.9911082,1749
27/02/1993,Sat,58,1.6488544,1663
28/02/1993,Sun,59,.16890034,1614
01/03/1993,Mon,60,1.4660155,1642
02/03/1993,Tue,61,2.2648909,1655
03/03/1993,Wed,62,2.8712151,1680
