date,year,month,day,dow,all,tmean,rh,pm10,ozone
2002/01/01,2002,1,1,2,199,-0.22500001,75.678299,71.699997,4.586224556
2002/01/02,2002,1,2,3,231,0.087499954,77.525002,40.200001,4.876852512
2002/01/03,2002,1,3,4,210,0.85000002,81.324997,41.799999,4.707875252
2002/01/04,2002,1,4,5,203,0.53750002,85.449997,50.400002,4.137461185
2002/01/05,2002,1,5,6,224,4.25,93.525002,49.364285,2.005846262
2002/01/06,2002,1,6,0,198,7.0687499,96.400002,31.1,2.401445866
2002/01/07,2002,1,7,1,180,5.1875,93.525002,48.581249,4.082940102
2002/01/08,2002,1,8,2,188,3.5125,81.5,48.617645,3.127579927
2002/01/09,2002,1,9,3,168,3.2249999,88.324997,59.200001,2.052420139
2002/01/10,2002,1,10,4,194,5.3249998,85.400002,48.694736,5.186887264
2002/01/11,2002,1,11,5,223,2.9937501,92.599998,55.5,3.591538906
2002/01/12,2002,1,12,6,201,4.7624998,94.175003,41.700001,12.86544323
2002/01/13,2002,1,13,0,204,8.1812496,91.425003,49.299999,17.6133709
2002/01/14,2002,1,14,1,184,9.2937498,89.175003,48,18.69501686
2002/01/15,2002,1,15,2,191,7.2374997,82.824997,41.700001,15.95137882
2002/01/16,2002,1,16,3,181,4.2374997,83.324997,60.099998,9.604250908
2002/01/17,2002,1,17,4,179,6.5187502,88.425003,50.099998,27.54545403
2002/01/18,2002,1,18,5,172,4.6437502,83.324997,50.299999,18.27272797
2002/01/19,2002,1,19,6,167,7.1187501,70,50,44.27272797
2002/01/20,2002,1,20,0,167,8.9312496,85.800003,36.200001,49.90909195
2002/01/21,2002,1,21,1,189,10.8375,81.224998,49.200001,38.09090805
2002/01/22,2002,1,22,2,183,9.0437498,71.325005,56.200001,43.09090805
2002/01/23,2002,1,23,3,193,9.2875004,83.224998,42.5,46.90909195
2002/01/24,2002,1,24,4,173,8.5625,76.025002,33.5,34.54545593
2002/01/25,2002,1,25,5,177,6.6187501,80.949997,44.099998,26
2002/01/26,2002,1,26,6,174,9.2437496,84.550003,32.700001,60.63636398
2002/01/27,2002,1,27,0,169,10.45625,90.300003,37.799999,42.45454407
2002/01/28,2002,1,28,1,204,10.33125,61.474998,54.099998,56.09464264
2002/01/29,2002,1,29,2,164,10.90625,77.525002,61.799999,38.11042023
2002/01/30,2002,1,30,3,160,11.13125,82.975006,47,33.01515579
2002/01/31,2002,1,31,4,192,8.4812498,72.699997,48.200001,46.71896362
2002/02/01,2002,2,1,5,173,9.8562498,78.550003,49.099998,58.20595932
2002/02/02,2002,2,2,6,167,12.18125,73.025002,44.099998,60.52612305
2002/02/03,2002,2,3,0,180,9.53125,79.550003,40.599998,39.26398849
2002/02/04,2002,2,4,1,143,8.0562496,89.175003,32.900002,44.39678574
2002/02/05,2002,2,5,2,194,9.5812502,76.550003,46.099998,48.00188446
2002/02/06,2002,2,6,3,148,7.25,64.050003,32.799999,33.9189949
2002/02/07,2002,2,7,4,144,6.3000002,79.324997,44.400002,21.53743172
2002/02/08,2002,2,8,5,169,9.4875002,89.775002,52.099998,28.50093651
2002/02/09,2002,2,9,6,171,10.1375,62.375,37.599998,54.19873428
2002/02/10,2002,2,10,0,155,9.1000004,68.75,39.599998,55.5718956
2002/02/11,2002,2,11,1,146,11.03125,86.5,36.200001,44.50498962
2002/02/12,2002,2,12,2,141,11.5,69.599998,56.400002,38.99726868
2002/02/13,2002,2,13,3,150,7.8249998,78.525002,33.099998,22.2712574
2002/02/14,2002,2,14,4,177,5.4562502,59.075001,23.299999,32.82904053
2002/02/15,2002,2,15,5,177,3.5625,72.400002,29.200001,16.25182343
2002/02/16,2002,2,16,6,166,5.1125002,70.625,23.5,16.37057686
2002/02/17,2002,2,17,0,154,3.70625,79.025002,44.099998,7.431434155
2002/02/18,2002,2,18,1,186,5.6500001,66.25,33.200001,21.7264328
2002/02/19,2002,2,19,2,171,8.3374996,68.224998,41.200001,45.15992355
2002/02/20,2002,2,20,3,151,8.1499996,59.274998,20.1,48.63015747
2002/02/21,2002,2,21,4,169,5.1999998,65.900002,55,31.81117058
2002/02/22,2002,2,22,5,185,9.1312504,67.75,35.700001,50.5238533
2002/02/23,2002,2,23,6,154,5.5562501,74.550003,25.799999,57.07624435
2002/02/24,2002,2,24,0,161,5.7562499,84.175003,37,41.76553726
2002/02/25,2002,2,25,1,163,9.2062502,88.724998,47.099998,45.64722824
2002/02/26,2002,2,26,2,183,9.5437498,68.574997,35.200001,58.5707283
2002/02/27,2002,2,27,3,153,5.9312501,66.300003,36.599998,54.78866196
2002/02/28,2002,2,28,4,155,6.9937501,62.075001,49.5,41.1239357
2002/03/01,2002,3,1,5,152,3.60625,80.650002,33.599998,16.34319305
2002/03/02,2002,3,2,6,165,3.8499999,69.400002,24.200001,21.50690842
2002/03/03,2002,3,3,0,162,6.5875001,77.824997,27.200001,17.56430817
2002/03/04,2002,3,4,1,186,6.9375,68.224998,36.099998,22.55617332
2002/03/05,2002,3,5,2,195,7.9312501,68.900002,45.700001,12.14976501
2002/03/06,2002,3,6,3,184,8.5874996,75.150002,55.700001,46.30099869
2002/03/07,2002,3,7,4,169,11.7,54.025002,40.400002,42.74446106
2002/03/08,2002,3,8,5,138,9.4875002,69.875,54,29.88905525
2002/03/09,2002,3,9,6,150,7.3187499,52.824997,33,50.54545593
2002/03/10,2002,3,10,0,141,6.6750002,70.074997,36.900002,57.18181992
2002/03/11,2002,3,11,1,185,9.9437504,81.775002,48.599998,38.09090805
2002/03/12,2002,3,12,2,179,8.8625002,82.349998,44.900002,10.909091
2002/03/13,2002,3,13,3,157,6.2374997,76.099998,22.5,52.54545593
2002/03/14,2002,3,14,4,163,5.1687498,73.150002,33.599998,47.09090805
2002/03/15,2002,3,15,5,182,6.5625,93.775002,48.5,4.422968388
2002/03/16,2002,3,16,6,177,10.475,74.75,38.099998,27.63636398
2002/03/17,2002,3,17,0,206,11.19375,79.399994,30.700001,37.18181992
2002/03/18,2002,3,18,1,164,9.4125004,83.775002,34.099998,54
2002/03/19,2002,3,19,2,156,9.4187498,72.525002,50.099998,34.90909195
2002/03/20,2002,3,20,3,180,11.35625,85.724998,48.599998,33.36363602
2002/03/21,2002,3,21,4,168,12.825,69.449997,45.200001,36
2002/03/22,2002,3,22,5,135,11.8625,72.800003,41.799999,25.63636398
2002/03/23,2002,3,23,6,166,9.4624996,60.575001,29.5,41.63636398
2002/03/24,2002,3,24,0,151,8.03125,54.474998,38.5,38.81818008
2002/03/25,2002,3,25,1,165,8.9499998,60.474998,56,29.004776
2002/03/26,2002,3,26,2,158,9.0500002,61.650002,23.6,37.87185287
2002/03/27,2002,3,27,3,165,6.78125,61.899998,44.799999,27.72727203
2002/03/28,2002,3,28,4,161,7.4749999,50.275002,59.099998,19.18181801
2002/03/29,2002,3,29,5,170,9.2437496,49.400002,57.5,20.45454597
2002/03/30,2002,3,30,6,161,10.1625,49.700001,67.800003,41.27272797
2002/03/31,2002,3,31,0,132,9.8937502,81.25,44.599998,52.63636398
2002/04/01,2002,4,1,1,151,12.013797,64.849998,47.599998,65
2002/04/02,2002,4,2,2,167,12.7,57.900002,59.299999,38.72727203
2002/04/03,2002,4,3,3,161,15.60625,40.75,64.699997,35.27344131
