date,year,month,day,all,cv,res,all_f,all_m,all_0_14,all_15_64,all_65,tmean,tmax,tmin,rh,hol,infl,hw,pm10,no2,o3,dust
2001-01-01,2001,1,1,16,8,0,9,7,0,1,15,13.9,19.8,10.2,56.6,1,54.9,0,25.0,57.5,45.7,
2001-01-02,2001,1,2,16,5,1,7,9,0,4,12,15.2,16.6,13.7,51.4,0,54.9,0,32.4,58.2,46.9,
2001-01-03,2001,1,3,19,4,2,12,7,0,4,15,12.2,15.7,8.4,55.0,0,54.9,0,29.1,63.9,48.0,
2001-01-04,2001,1,4,15,3,4,5,10,0,5,10,16.1,19.9,12.6,51.3,0,54.9,0,37.8,56.8,46.2,
2001-01-05,2001,1,5,26,11,3,15,11,0,1,25,17.0,20.8,13.9,60.0,0,54.9,0,38.2,73.1,50.7,
2001-01-06,2001,1,6,21,10,3,11,10,0,5,16,16.4,18.1,14.2,55.2,0,99.9,0,22.6,50.4,42.6,
2001-01-07,2001,1,7,15,3,2,6,9,0,2,13,10.7,15.5,6.6,55.1,0,99.9,0,16.6,59.4,42.8,
2001-01-08,2001,1,8,26,7,2,16,10,0,3,23,8.8,15.1,3.8,52.8,0,99.9,0,29.8,72.0,38.8,
2001-01-09,2001,1,9,22,7,2,14,8,0,3,19,7.5,11.2,1.5,60.7,0,99.9,0,52.0,93.9,37.9,
2001-01-10,2001,1,10,22,9,4,12,10,1,1,20,14.1,19.0,10.6,61.6,0,99.9,0,40.0,80.9,32.5,
2001-01-11,2001,1,11,20,10,4,11,9,0,2,18,12.2,16.5,8.6,77.7,0,99.9,0,49.4,82.3,32.7,
2001-01-12,2001,1,12,13,4,2,7,6,0,4,9,9.8,12.6,6.0,85.7,0,99.9,0,48.4,79.7,21.1,
2001-01-13,2001,1,13,17,7,3,8,9,0,3,14,12.0,17.3,9.0,76.3,0,97.7,0,28.0,71.8,22.7,
2001-01-14,2001,1,14,26,14,1,17,9,0,2,24,11.4,16.6,8.2,74.8,0,97.7,0,28.0,61.0,19.5,
2001-01-15,2001,1,15,19,8,2,11,8,0,1,18,10.2,12.9,8.3,79.7,0,97.7,0,37.2,83.9,16.8,
2001-01-16,2001,1,16,22,9,2,8,14,1,4,17,10.4,15.3,6.2,71.4,0,97.7,0,31.5,71.3,13.5,
2001-01-17,2001,1,17,19,6,1,10,9,0,4,15,10.9,14.8,6.8,58.5,0,97.7,0,28.2,72.2,17.4,
2001-01-18,2001,1,18,25,6,3,9,16,0,7,18,9.6,12.5,7.5,69.4,0,97.7,0,34.9,84.3,18.9,
2001-01-19,2001,1,19,15,7,1,7,8,0,0,15,11.4,17.8,6.4,59.5,0,97.7,0,28.2,80.9,22.1,
2001-01-20,2001,1,20,25,8,2,8,17,1,3,21,11.7,17.6,6.1,57.9,0,122.4,0,26.8,71.2,28.2,
2001-01-21,2001,1,21,13,4,4,6,7,0,3,10,10.1,16.9,4.1,68.0,0,122.4,0,26.6,73.4,26.9,
